text,emotion,severity,intent,context,response
Everything feels overwhelming in my study,anger,high,general,study,It might help to take a break and relax.
Lately my study has been causing me stress,stress,medium,vent,study,Seeking professional support could be beneficial.
Sometimes I feel without any reason,sadness,low,vent,health,It might help to take a break and relax.
I don't know how to handle this stress anymore,anxiety,low,crisis,social,Consider talking to someone you trust.
I feel medium levels of recently,stress,high,information,study,Seeking professional support could be beneficial.
Lately my study has been causing me neutral,neutral,low,vent,study,It sounds like you're going through something difficult.
Sometimes I feel unhappyness any without reason,sadness,low,help,work,Consider talking to someone you trust.
I feel sadness because of my study,sadness,high,crisis,study,It might help to take a break and relax.
I am with dealing sadness and it is medium,sadness,medium,help,work,Consider talking to someone you trust.
I don't know how to handle this unhappyness anymore,sadness,medium,vent,health,"You are not alone, and it's okay to seek help."
My situation work is making me feel sadness,sadness,high,vent,work,"You are not alone, and it's okay to seek help."
I feel high levels of anxiety recently,anxiety,high,general,study,It might help to take a break and relax.
My social situation is making feel me sadness,sadness,low,help,social,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my family,sadness,high,crisis,family,"You are not alone, and it's okay to seek help."
I feel unhappyness of my work,sadness,low,vent,work,It sounds like you're going through something difficult.
I am dealing with neutral and it is getting low,neutral,low,crisis,work,It might help to take a break and relax.
I feel stress because of my work,stress,high,help,work,Try taking small steps to manage your situation.
My work situation is making me feel stress,stress,high,vent,work,"You are not alone, and it's okay to seek help."
My study situation is making me neutral feel,neutral,low,information,study,It might help to take a break and relax.
Everything feels overwhelming in my social,stress,low,help,social,Try taking small steps to manage your situation.
I feel anger because of my social,anger,medium,crisis,social,It sounds like you're going through something difficult.
Sometimes I stress feel without any reason,anxiety,high,help,social,It might help to take a break and relax.
I don't know how to handle this neutral anymore,neutral,medium,help,social,Try taking small steps to manage your situation.
Sometimes I feel anger without any reason,anger,medium,general,study,"You are not alone, and it's okay to seek help."
I feel low of levels anger recently,anger,low,general,social,It sounds like you're going through something difficult.
I feel medium levels of stress recently,stress,medium,crisis,social,Try taking small steps to manage your situation.
Lately my work has been causing me neutral,neutral,medium,help,work,Consider talking to someone you trust.
Sometimes I feel nervous without any reason,anxiety,high,information,study,Consider talking to someone you trust.
Everything feels overwhelming in my family,anxiety,medium,general,family,Seeking professional support could be beneficial.
My social is situation making me feel unhappyness,sadness,low,information,social,Consider talking to someone you trust.
Sometimes I stress without any reason,stress,medium,information,social,Seeking professional support could be beneficial.
My study situation is making me feel anxiety,anxiety,low,vent,study,It sounds like you're going through something difficult.
My social situation is making me feel neutral,neutral,medium,information,social,"You are not alone, and it's okay to seek help."
I feel sadness because my work,sadness,low,general,work,It sounds like you're going through something difficult.
Sometimes I feel without any reason,anxiety,high,information,health,It sounds like you're going through something difficult.
I don't know how to handle this stress anymore,stress,low,information,health,Consider talking to someone you trust.
Sometimes I feel anger without any reason,anger,medium,crisis,family,Consider talking to someone you trust.
Sometimes I feel neutral without any reason,neutral,high,vent,work,It might help to take a break and relax.
Lately my health has been me causing anxiety,anxiety,medium,crisis,health,Try taking small steps to manage your situation.
My health situation is making me feel sadness,sadness,high,help,health,Try taking small steps to manage your situation.
I Sometimes feel sadness without any reason,sadness,medium,help,social,It sounds like you're going through something difficult.
Lately my study has been causing me neutral,neutral,high,information,study,It might help to take a break and relax.
I don't know how to handle this neutral anymore,neutral,high,general,family,Try taking small steps to manage your situation.
I don't know how to handle neutral this anymore,neutral,high,general,social,"You are not alone, and it's okay to seek help."
I am dealing with sadness and it is getting high,sadness,high,vent,study,It sounds like you're going through something difficult.
Sometimes feel I stress without any reason,stress,medium,help,family,Try taking small steps to manage your situation.
Sometimes I feel anxiety without any reason,anxiety,medium,crisis,family,"You are not alone, and it's okay to seek help."
Sometimes I feel stress without any reason,stress,low,crisis,work,"You are not alone, and it's okay to seek help."
I feel sadness because my of study,sadness,medium,general,study,It sounds like you're going through something difficult.
I feel because of my work,anxiety,high,information,work,Consider talking to someone you trust.
I feel medium levels of stress recently,anxiety,medium,help,social,It sounds like you're going through something difficult.
My study situation is making me feel sadness,sadness,high,crisis,study,It sounds like you're going through something difficult.
I stress of because my study,stress,low,crisis,study,Seeking professional support could be beneficial.
I am dealing with sadness and it is getting low,sadness,low,help,social,Consider talking to someone you trust.
Sometimes I feel neutral without any reason,neutral,high,help,work,Seeking professional support could be beneficial.
feel I unhappyness because of my social,sadness,high,general,social,"You are not alone, and it's okay to seek help."
Lately my health been has causing me anger,anger,high,information,health,Consider talking to someone you trust.
My work situation is making me feel neutral,neutral,low,information,work,It might help to take a break and relax.
Everything feels overwhelming in my study,sadness,medium,information,study,"You are not alone, and it's okay to seek help."
Sometimes I feel neutral without any reason,neutral,low,crisis,work,It might help to take a break and relax.
I feel high levels anxiety of recently,anxiety,high,vent,social,"You are not alone, and it's okay to seek help."
I feel high levels of anxiety recently,anxiety,high,crisis,study,Try taking small steps to manage your situation.
Sometimes I feel stress without any reason,stress,medium,general,social,"You are not alone, and it's okay to seek help."
am dealing with and neutral it is getting high,neutral,high,information,family,Seeking professional support could be beneficial.
Lately my study has been causing me neutral,neutral,high,crisis,study,Seeking professional support could be beneficial.
I feel high of anxiety recently,anxiety,high,general,family,Try taking small steps to manage your situation.
I don't know how to handle this anxiety anymore,anxiety,high,information,family,"You are not alone, and it's okay to seek help."
feels overwhelming in health my,stress,low,help,health,It sounds like you're going through something difficult.
I feel anger because of my social,anger,low,information,social,Seeking professional support could be beneficial.
feel I sadness without any reason,sadness,medium,crisis,social,"You are not alone, and it's okay to seek help."
Sometimes I feel neutral without any reason,neutral,low,information,study,It might help to take a break and relax.
Lately my health has been causing me neutral,neutral,high,vent,health,Seeking professional support could be beneficial.
I am dealing with anger and it is getting medium,anger,medium,vent,study,"You are not alone, and it's okay to seek help."
Sometimes feel anger without any reason,anger,low,information,family,Try taking small steps to manage your situation.
I am with dealing sadness and it is getting low,sadness,low,crisis,health,Try taking small steps to manage your situation.
I feel because anxiety of my social,anxiety,low,general,social,"You are not alone, and it's okay to seek help."
I feel high levels of anxiety recently,anxiety,high,help,social,It sounds like you're going through something difficult.
I low feel levels of anger recently,anger,low,help,health,Consider talking to someone you trust.
Lately my health has causing been me stress,stress,high,vent,health,It might help to take a break and relax.
I am dealing with and downness it is getting high,sadness,high,help,work,Seeking professional support could be beneficial.
I feel low levels of stress recently,stress,low,information,social,Consider talking to someone you trust.
I feel high of neutral recently,neutral,high,help,work,Try taking small steps to manage your situation.
I am dealing with and sadness it is getting high,sadness,high,vent,study,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my family,stress,low,information,family,It sounds like you're going through something difficult.
I feel low levels of anger recently,anger,high,crisis,social,Seeking professional support could be beneficial.
Everything feels overwhelming in my family,anger,high,general,family,Try taking small steps to manage your situation.
Lately my health has been causing me neutral,neutral,high,crisis,health,"You are not alone, and it's okay to seek help."
don't I know how to handle this anxiety anymore,anxiety,medium,vent,health,It might help to take a break and relax.
I am dealing with anxiety and it is getting medium,anxiety,medium,general,study,"You are not alone, and it's okay to seek help."
Sometimes I feel anger without any,anger,low,help,study,It might help to take a break and relax.
Everything feels overwhelming in my study,anger,low,crisis,study,Try taking small steps to manage your situation.
Everything feels overwhelming in my social,anxiety,high,vent,social,It might help to take a break and relax.
I feel low levels of stress recently,stress,low,help,family,It sounds like you're going through something difficult.
Lately my study has been causing me anger,anger,medium,general,study,It sounds like you're going through something difficult.
My work situation is making me feel stress,stress,medium,general,work,Seeking professional support could be beneficial.
Lately my study has been causing anger me,anger,low,information,study,"You are not alone, and it's okay to seek help."
Sometimes I sadness without any reason,sadness,low,crisis,social,Seeking professional support could be beneficial.
Lately my study has been causing me stress,stress,low,information,study,It sounds like you're going through something difficult.
I feel medium levels of stress recently,stress,medium,general,social,Try taking small steps to manage your situation.
I am with stress and it is getting low,stress,low,crisis,family,It sounds like you're going through something difficult.
Lately my family been has causing me anger,anger,high,crisis,family,It might help to take a break and relax.
I stress because of my social,stress,low,information,social,"You are not alone, and it's okay to seek help."
I don't know how to this stress anymore,stress,low,help,work,"You are not alone, and it's okay to seek help."
Sometimes I feel stress without any reason,stress,low,vent,study,Seeking professional support could be beneficial.
Sometimes I feel nervous without any reason,anxiety,medium,help,study,Consider talking to someone you trust.
I feel because stress of my study,stress,medium,general,study,It might help to take a break and relax.
I feel medium levels of anger recently,anger,medium,general,family,"You are not alone, and it's okay to seek help."
Sometimes I feel unhappyness without any reason,sadness,low,general,health,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my work,anxiety,low,help,work,Seeking professional support could be beneficial.
Everything overwhelming feels in family,anxiety,high,information,family,Try taking small steps to manage your situation.
Lately my study has been me causing sadness,sadness,high,vent,study,Consider talking to someone you trust.
I don't know how to handle this stress anymore,stress,high,help,study,Consider talking to someone you trust.
I am dealing with stress and it is getting low,anxiety,low,vent,work,Consider talking to someone you trust.
I feel high levels of anger recently,anger,high,information,health,Try taking small steps to manage your situation.
I don't know how to handle this anger anymore,anger,low,information,family,Seeking professional support could be beneficial.
I levels medium of anxiety recently,anxiety,high,crisis,family,Consider talking to someone you trust.
Sometimes I feel neutral without any reason,neutral,medium,general,study,It sounds like you're going through something difficult.
feel I anger because of my social,anger,medium,crisis,social,Seeking professional support could be beneficial.
I Sometimes feel anger without any,anger,high,information,work,"You are not alone, and it's okay to seek help."
I feel low levels of nervous,anxiety,low,crisis,family,It might help to take a break and relax.
Sometimes I feel anger without any reason,anger,high,information,work,"You are not alone, and it's okay to seek help."
I am dealing with anger and it getting is high,anger,high,crisis,social,Seeking professional support could be beneficial.
Lately my social has been causing me unhappyness,sadness,high,general,social,It sounds like you're going through something difficult.
I feel high levels of neutral recently,neutral,high,general,family,It might help to take a break and relax.
I feel anger because of my study,anger,low,vent,study,Consider talking to someone you trust.
Everything feels overwhelming in my family,sadness,medium,general,family,"You are not alone, and it's okay to seek help."
I feel neutral because of my study,neutral,medium,crisis,study,"You are not alone, and it's okay to seek help."
I feel stress without any reason,stress,medium,vent,social,Consider talking to someone you trust.
Everything feels overwhelming in my social,stress,low,information,social,It sounds like you're going through something difficult.
I feel high levels of nervous recently,anxiety,high,vent,health,Try taking small steps to manage your situation.
I feel neutral because of my work,neutral,high,general,work,Consider talking to someone you trust.
I don't know how to handle this anger anymore,anger,medium,help,study,It might help to take a break and relax.
My health situation is me making feel downness,sadness,medium,vent,health,Seeking professional support could be beneficial.
Lately my social has been causing me anxiety,anxiety,medium,vent,social,"You are not alone, and it's okay to seek help."
I neutral because of my study,neutral,medium,information,study,Try taking small steps to manage your situation.
Lately my family has been causing me unhappyness,sadness,medium,general,family,Seeking professional support could be beneficial.
I feel medium levels of neutral recently,neutral,high,general,social,It sounds like you're going through something difficult.
Sometimes I feel stress without any reason,stress,medium,vent,health,"You are not alone, and it's okay to seek help."
I feel levels of anxiety recently,anxiety,low,general,family,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my health,neutral,medium,help,health,Try taking small steps to manage your situation.
I am dealing with stress and it is getting medium,stress,medium,help,family,It might help to take a break and relax.
My work situation is making me feel neutral,neutral,high,help,work,It sounds like you're going through something difficult.
Everything feels overwhelming in my family,neutral,low,crisis,family,Try taking small steps to manage your situation.
Everything feels overwhelming in my family,stress,medium,general,family,Seeking professional support could be beneficial.
I feel medium levels neutral recently,neutral,medium,vent,study,Consider talking to someone you trust.
My social situation is making me feel stress,anxiety,high,information,social,"You are not alone, and it's okay to seek help."
My family situation is making me feel downness,sadness,medium,help,family,Seeking professional support could be beneficial.
I feel because anger of my health,anger,low,general,health,"You are not alone, and it's okay to seek help."
Lately my study has been causing me stress,stress,low,information,study,It might help to take a break and relax.
Sometimes I feel sadness any reason,sadness,medium,help,work,Consider talking to someone you trust.
Sometimes I feel stress without reason any,stress,low,crisis,family,Try taking small steps to manage your situation.
I feel neutral because of my work,neutral,medium,information,work,Consider talking to someone you trust.
Sometimes I feel anger without any,anger,low,crisis,study,It might help to take a break and relax.
Lately my work has been causing me anger,anger,medium,crisis,work,"You are not alone, and it's okay to seek help."
I feel low levels of sadness recently,sadness,low,help,work,Consider talking to someone you trust.
I feel medium levels anxiety of recently,anxiety,medium,information,health,It might help to take a break and relax.
Lately my work has been causing me downness,sadness,high,information,work,Consider talking to someone you trust.
I feel high levels of stress recently,anxiety,high,crisis,social,Try taking small steps to manage your situation.
Lately my health has been me causing anger,anger,low,general,health,Try taking small steps to manage your situation.
Lately my family has causing me anger,anger,medium,crisis,family,Try taking small steps to manage your situation.
I feel low levels of stress recently,stress,low,crisis,social,It sounds like you're going through something difficult.
I feel stress because of my family,stress,medium,vent,family,Consider talking to someone you trust.
Lately my social has been causing me sadness,sadness,medium,vent,social,"You are not alone, and it's okay to seek help."
I feel stress because of my social,stress,high,information,social,"You are not alone, and it's okay to seek help."
My health situation is making feel me sadness,sadness,low,help,health,"You are not alone, and it's okay to seek help."
Sometimes I anxiety without any reason,anxiety,high,crisis,study,Try taking small steps to manage your situation.
Everything feels overwhelming my in social,stress,low,crisis,social,Seeking professional support could be beneficial.
Lately my family been has causing me anxiety,anxiety,medium,vent,family,Seeking professional support could be beneficial.
My social situation is me feel sadness,sadness,medium,crisis,social,It might help to take a break and relax.
Lately social my has been causing me neutral,neutral,medium,information,social,"You are not alone, and it's okay to seek help."
I don't know how to handle this neutral anymore,neutral,low,general,study,"You are not alone, and it's okay to seek help."
I feel medium levels neutral of recently,neutral,medium,vent,study,Try taking small steps to manage your situation.
Lately my health has been causing me anxiety,anxiety,high,general,health,Try taking small steps to manage your situation.
I feel anger because of my social,anger,high,information,social,"You are not alone, and it's okay to seek help."
feels overwhelming my in social,anger,low,help,social,It might help to take a break and relax.
My study situation is making me feel anger,anger,high,crisis,study,Consider talking to someone you trust.
I feel neutral because of my study,neutral,medium,information,study,Consider talking to someone you trust.
Lately my work has been causing me anger,anger,high,crisis,work,Try taking small steps to manage your situation.
I don't know how to handle this anxiety,anxiety,high,crisis,family,It might help to take a break and relax.
I am dealing with stress and it getting low,stress,low,information,family,Consider talking to someone you trust.
I anger because of my social,anger,high,information,social,It sounds like you're going through something difficult.
social situation is making me feel anger,anger,medium,vent,social,Seeking professional support could be beneficial.
I feel stress because of my social,stress,medium,help,social,"You are not alone, and it's okay to seek help."
Everything feels in overwhelming work,anxiety,high,crisis,work,It might help to take a break and relax.
feel I high levels neutral recently,neutral,high,crisis,social,Consider talking to someone you trust.
Sometimes I feel stress without any reason,stress,medium,crisis,family,Seeking professional support could be beneficial.
I feel levels high of sadness recently,sadness,high,vent,study,It might help to take a break and relax.
I feel anxiety because of my social,anxiety,low,information,social,Seeking professional support could be beneficial.
My social situation is making me feel neutral,neutral,high,crisis,social,It sounds like you're going through something difficult.
Sometimes I feel anger without any reason,anger,high,general,work,Consider talking to someone you trust.
Sometimes feel I neutral without any reason,neutral,high,vent,work,Seeking professional support could be beneficial.
my Lately social has been causing me anxiety,anxiety,medium,information,social,"You are not alone, and it's okay to seek help."
